pdb,resolution,year,target,value,unit,precision,chains,number_of_chains,coefficient,logM
1oc0,2.28,2003,Kd,1.0,nM,~,"A,B",2.0,1e-08,-8.0
1nvu,2.2,2003,Kd,3.6,uM,~,"Q,R,S",3.0,1e-05,-4.443697499232712
1nf3,2.1,2003,Kd,50.0,nM,~,"A,B,C,D",4.0,1e-08,-6.301029995663981
1oph,2.3,2003,Kd,5.0,nM,~,"A,B",2.0,1e-08,-7.301029995663981
1o94,2.0,2003,Kd,5.0,uM,~,"A,B,C,D,E,F",6.0,1e-05,-4.301029995663981
1nw9,2.4,2003,Ki,0.013,uM,=,"A,B",2.0,1e-05,-6.886056647693163
1pxv,1.8,2003,Ki,0.31,nM,=,"A,B,C,D",4.0,1e-08,-8.508638306165727
1p0s,2.8,2003,Ki,11.0,pM,=,"L,H,E",3.0,1e-11,-9.958607314841775
1nb5,2.4,2003,Ki,69.0,pM,=,"A,P,I,B,R,J,C,S,K,D,T,L,E,F,G,H",16.0,1e-11,-9.161150909262744
1mcv,1.8,2003,Ki,98.0,nM,=,"A,I",2.0,1e-08,-6.008773924307505
1oyv,2.5,2003,Ki,9.0,nM,=,"A,B,I",3.0,1e-08,-7.045757490560675
1rpq,3.0,2004,IC50,0.032,uM,=,"A,B,C,D,W,X,Y,Z,E,F,G,H,I,J,K,L,M,N,O,P",20.0,1e-05,-6.494850021680094
1xxf,2.6,2004,IC50,200.0,nM,=,"A,B,C,D",4.0,1e-08,-5.698970004336019
1rv6,2.45,2004,IC50,275.0,nM,=,"V,W,X,Y",4.0,1e-08,-5.560667306169737
1xx9,2.2,2004,IC50,3.0,nM,=,"A,B,C,D",4.0,1e-08,-7.522878745280337
1xu1,1.9,2004,IC50,5.9,nM,=,"A,B,D,R,S,T",6.0,1e-08,-7.229147988357855
1xxd,2.91,2004,IC50,600.0,nM,=,"A,B,C,D",4.0,1e-08,-5.221848749616356
1v7p,1.9,2004,IC50,6.0,nM,=,"A,B,C",3.0,1e-08,-7.221848749616356
1ry7,3.2,2004,Kd,0.23,uM,=,"A,B",2.0,1e-05,-5.638272163982407
1u0s,1.9,2004,Kd,0.23,uM,=,"Y,A",2.0,1e-05,-5.638272163982407
1xqh,1.75,2004,Kd,0.2,uM,=,"A,B,E,F",4.0,1e-05,-5.698970004336019
1pd7,0.0,2004,Kd,0.3,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",60.0,1e-05,-5.522878745280337
1xd3,1.45,2004,Kd,0.3,uM,=,"A,B,C,D",4.0,1e-05,-5.522878745280337
1t6b,2.5,2004,Kd,0.4,nM,=,"X,Y",2.0,1e-08,-8.397940008672037
1nl0,2.2,2004,Kd,1.6,nM,=,"L,H,G",3.0,1e-08,-7.795880017344075
1tzh,2.6,2004,Kd,1.8,nM,=,"V,W,A,B,L,H",6.0,1e-08,-7.7447274948966935
1us7,2.3,2004,Kd,1.8,uM,=,"A,B",2.0,1e-05,-4.7447274948966935
1tzi,2.8,2004,Kd,10.0,nM,=,"A,B,V",3.0,1e-08,-7.0
1xr0,0.0,2004,Kd,10.0,uM,=,"A,B",2.0,1e-05,-4.0
1sv0,2.07,2004,Kd,11.1,nM,=,"A,B,C,D",4.0,1e-08,-6.954677021213342
1vet,1.9,2004,Kd,12.8,nM,=,"A,B",2.0,1e-08,-6.892790030352131
1veu,2.15,2004,Kd,12.8,nM,=,"A,B",2.0,1e-08,-6.892790030352131
1q5w,0.0,2004,Kd,126.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-2.899629454882437
1tdq,2.6,2004,Kd,12.0,nM,=,"A,B",2.0,1e-08,-6.920818753952375
1r8u,0.0,2004,Kd,13.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-08,-6.886056647693163
1syq,2.42,2004,Kd,14.7,nM,=,"A,B",2.0,1e-08,-6.8326826652518236
1w72,2.15,2004,Kd,14.0,nM,=,"A,B,C,D,E,F,H,I,L,M",10.0,1e-08,-6.853871964321762
1sb0,0.0,2004,Kd,15.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-3.8239087409443187
1tzn,4.3,2004,Kd,170.0,pM,=,"A,a,B,b,C,c,D,d,E,e,F,f,G,g,H,h,I,i,J,j,K,k,L,l,M,m,O,o",28.0,1e-11,-8.769551078621726
1sg1,2.4,2004,Kd,186.0,nM,=,"A,B,X",3.0,1e-08,-5.730487055782084
1t44,2.0,2004,Kd,1.0,uM,=,"G,A",2.0,1e-05,-5.0
1th1,2.5,2004,Kd,2.1,nM,=,"A,B,C,D",4.0,1e-08,-7.6777807052660805
1sy6,2.1,2004,Kd,2.73,uM,=,"L,H,A",3.0,1e-05,-4.5638373529592435
1xt9,2.2,2004,Kd,200.0,nM,=,"A,B",2.0,1e-08,-5.698970004336019
1vyt,2.6,2004,Kd,20.0,nM,=,"A,B,E,F",4.0,1e-08,-6.698970004336019
1w1w,2.9,2004,Kd,260.0,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-2.585026652029182
1u7v,2.7,2004,Kd,296.0,nM,=,"A,C,B",3.0,1e-08,-5.528708288941061
1usu,2.15,2004,Kd,3.3,uM,=,"A,B",2.0,1e-05,-4.481486060122112
1usv,2.7,2004,Kd,3.3,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-4.481486060122112
1uel,0.0,2004,Kd,3.4,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-4.468521082957745
1tlh,0.0,2004,Kd,300.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-2.5228787452803374
1sq0,2.6,2004,Kd,30.0,nM,=,"A,B",2.0,1e-08,-6.522878745280337
1p6a,2.9,2004,Kd,35.0,nM,=,"A,B",2.0,1e-08,-6.455931955649724
1rkc,2.7,2004,Kd,39.0,nM,=,"A,B",2.0,1e-08,-6.4089353929735005
1t01,2.06,2004,Kd,39.0,nM,=,"A,B",2.0,1e-08,-6.4089353929735005
1p4b,2.35,2004,Kd,40.0,pM,=,"L,H,P",3.0,1e-11,-9.397940008672037
1oyh,2.62,2004,Kd,42.0,nM,=,"I,L,A,B,C",5.0,1e-08,-6.376750709602099
1rvj,2.75,2004,Kd,4.0,uM,=,"L,M,H",3.0,1e-05,-4.3979400086720375
1rke,2.35,2004,Kd,50.0,nM,=,"A,B",2.0,1e-08,-6.301029995663981
1u7f,2.6,2004,Kd,58.0,nM,=,"A,B,C",3.0,1e-08,-6.236572006437063
1vg0,2.2,2004,Kd,5.0,nM,=,"A,B",2.0,1e-08,-7.301029995663981
1ty4,2.2,2004,Kd,6.4,nM,=,"A,B,C,D",4.0,1e-08,-7.1938200260161125
1s4y,2.3,2004,Kd,6.87,nM,=,"A,B,C,D",4.0,1e-08,-7.16304326294045
1u0i,0.0,2004,Kd,70.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-08,-6.154901959985743
1p69,3.1,2004,Kd,76.0,nM,=,"A,B",2.0,1e-08,-6.119186407719209
1shy,3.22,2004,Kd,90.0,nM,=,"A,B",2.0,1e-08,-6.045757490560675
1p2c,2.0,2004,Kd,98.0,pM,=,"A,B,C,D,E,F",6.0,1e-11,-9.008773924307505
1s1q,2.0,2004,Kd,500.0,uM,~,"A,B,C,D",4.0,1e-05,-2.3010299956639813
1nm5,2.4,2004,Kd,60.0,nM,~,"A,B,C",3.0,1e-08,-6.221848749616356
1tm7,1.59,2004,Ki,0.0033,nM,=,"E,I",2.0,1e-08,-10.481486060122112
1tm1,1.7,2004,Ki,0.003,nM,=,"E,I",2.0,1e-08,-10.522878745280337
1tm5,1.45,2004,Ki,0.017,nM,=,"E,I",2.0,1e-08,-9.769551078621726
1tm3,1.57,2004,Ki,0.019,nM,=,"E,I",2.0,1e-08,-9.721246399047171
1tm4,1.7,2004,Ki,0.13,nM,=,"E,I",2.0,1e-08,-8.886056647693163
1to1,1.68,2004,Ki,0.46,nM,=,"E,I",2.0,1e-08,-8.337242168318426
1tt5,2.6,2004,Ki,22.0,uM,=,"A,B,C,D,E,F",6.0,1e-05,-3.657577319177794
1uuz,1.8,2004,Ki,25.0,nM,=,"A,B,C,D",4.0,1e-08,-6.6020599913279625
1te1,2.5,2004,Ki,3.4,nM,=,"A,B",2.0,1e-08,-7.468521082957745
1ta3,1.7,2004,Ki,9.0,nM,=,"A,B",2.0,1e-08,-7.045757490560675
1zjd,2.6,2005,IC50,1.28,nM,=,"A,B",2.0,1e-08,-7.892790030352131
1yc0,2.6,2005,IC50,4.0,nM,=,"A,I",2.0,1e-08,-7.3979400086720375
2ass,3.0,2005,Kd,0.006,uM,=,,,1e-05,-7.221848749616356
1vyh,3.4,2005,Kd,0.08,uM,=,"A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T",20.0,1e-05,-6.096910013008056
1z7x,1.95,2005,Kd,0.29,fM,=,"X,W,Z,Y",4.0,1e-14,-14.537602002101044
1zhi,2.7,2005,Kd,0.2,uM,=,"A,B",2.0,1e-05,-5.698970004336019
1r6q,2.35,2005,Kd,0.33,uM,=,"A,B,C,D",4.0,1e-05,-5.481486060122112
1wlp,0.0,2005,Kd,0.64,uM,=,"A,B",2.0,1e-05,-5.1938200260161125
1zm4,2.9,2005,Kd,0.98,uM,=,"A,B,C,D,E,F",6.0,1e-05,-5.008773924307505
1y8n,2.6,2005,Kd,1.17,uM,=,"A,B",2.0,1e-05,-4.931814138253839
2c1m,2.2,2005,Kd,1.1,nM,=,,,1e-08,-7.958607314841775
1ze3,1.84,2005,Kd,1.2,uM,=,"C,H,D",3.0,1e-05,-4.920818753952375
1uwx,2.2,2005,Kd,1.6,uM,=,"A,B,H,K,L,M,P,Q",8.0,1e-05,-4.795880017344075
1ydi,1.8,2005,Kd,1.78,nM,=,"A,B",2.0,1e-08,-7.749579997691106
2b4j,2.02,2005,Kd,10.9,nM,=,,,1e-08,-6.962573502059376
2b0z,2.7,2005,Kd,100.0,uM,=,,,1e-05,-3.0
1v18,2.1,2005,Kd,10.0,nM,=,"A,B",2.0,1e-08,-7.0
1z92,2.8,2005,Kd,10.0,nM,=,"A,B",2.0,1e-08,-7.0
2ajf,2.9,2005,Kd,10.0,nM,=,,,1e-08,-7.0
2b5i,2.3,2005,Kd,10.0,pM,=,,,1e-11,-10.0
2b10,2.8,2005,Kd,10.0,uM,=,,,1e-05,-4.0
1wa8,0.0,2005,Kd,11.0,nM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",56.0,1e-08,-6.958607314841775
1x1y,1.9,2005,Kd,12.7,uM,=,"A,B,C,D,E,F",6.0,1e-05,-3.896196279044043
2a7u,0.0,2005,Kd,120.0,nM,=,,,1e-08,-5.920818753952375
2aep,2.1,2005,Kd,12.0,nM,=,,,1e-08,-6.920818753952375
2aeq,3.0,2005,Kd,12.0,nM,=,,,1e-08,-6.920818753952375
1x1u,2.3,2005,Kd,13.2,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.87942606879415
2bnr,1.9,2005,Kd,13.3,uM,=,,,1e-05,-3.876148359032914
1wdw,3.0,2005,Kd,14.3,nM,=,"A,B,C,D,E,F,G,H,I,J,K,L",12.0,1e-08,-6.844663962534938
1wr1,0.0,2005,Kd,14.8,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-3.8297382846050425
1t63,2.07,2005,Kd,15.0,uM,=,"A,B",2.0,1e-05,-3.8239087409443187
1x75,2.8,2005,Kd,17.5,nM,=,"A,B,C,D",4.0,1e-08,-6.756961951313706
1y6m,2.8,2005,Kd,173.0,nM,=,"L,R",2.0,1e-08,-5.761953896871205
1yd8,2.8,2005,Kd,181.0,uM,=,"U,G,V,H",4.0,1e-05,-2.7423214251308154
1y6k,2.52,2005,Kd,1.0,nM,=,"L,R",2.0,1e-08,-8.0
1yru,2.5,2005,Kd,1.0,nM,=,"A,B",2.0,1e-08,-8.0
2bp7,2.9,2005,Kd,1.0,nM,=,,,1e-08,-8.0
2c1t,2.6,2005,Kd,2.0,nM,=,,,1e-08,-7.698970004336019
1yy9,2.6,2005,Kd,2.3,nM,=,"A,C,D,B,E,F,G",7.0,1e-08,-7.638272163982407
2byk,2.4,2005,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
2bym,2.8,2005,Kd,2.3,uM,=,,,1e-05,-4.638272163982407
2be6,2.0,2005,Kd,2.63,nM,=,,,1e-08,-7.580044251510242
1ri8,1.85,2005,Kd,2.9,nM,=,"A,B",2.0,1e-08,-7.537602002101044
2b12,3.02,2005,Kd,20.0,uM,=,,,1e-05,-3.6989700043360187
2bqz,1.5,2005,Kd,20.0,uM,=,,,1e-05,-3.6989700043360187
1wr6,2.6,2005,Kd,231.0,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-2.6363880201078556
2aw2,2.8,2005,Kd,25.0,nM,=,,,1e-08,-6.6020599913279625
1t0p,1.66,2005,Kd,25.0,uM,=,"A,B",2.0,1e-05,-3.6020599913279625
1x1w,2.1,2005,Kd,26.4,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.578396073130169
1y6n,2.7,2005,Kd,27.0,nM,=,"L,R",2.0,1e-08,-6.568636235841013
1vrc,0.0,2005,Kd,28.4,uM,=,"A,B,C,D,A,B,C,D",8.0,1e-05,-3.5466816599529625
1z5s,3.01,2005,Kd,3.04,uM,=,"A,B,C,D",4.0,1e-05,-4.517126416391246
1t5z,2.3,2005,Kd,33.0,uM,=,"A,B",2.0,1e-05,-3.4814860601221125
1za3,3.35,2005,Kd,34.0,nM,=,"A,B,R,L,H,S",6.0,1e-08,-6.468521082957745
1yx5,0.0,2005,Kd,350.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",36.0,1e-05,-2.4559319556497243
1xwd,2.92,2005,Kd,388.0,uM,=,"A,B,C,D,E,F,G,H",8.0,1e-05,-2.4111682744057927
1xj7,2.7,2005,Kd,39.0,uM,=,"A,B",2.0,1e-05,-3.408935392973501
1u5s,0.0,2005,Kd,3.0,mM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",36.0,0.01,-1.5228787452803376
1shz,2.85,2005,Kd,3.0,uM,=,"A,C,D,F",4.0,1e-05,-4.522878745280337
1wrd,1.75,2005,Kd,409.0,uM,=,"A,B",2.0,1e-05,-2.388276691992658
1zc3,2.0,2005,Kd,42.0,nM,=,"A,B,C,D",4.0,1e-08,-6.376750709602099
1zc4,2.5,2005,Kd,42.0,nM,=,"A,B,C,D",4.0,1e-08,-6.376750709602099
1yyl,2.75,2005,Kd,4.0,nM,=,"G,L,H,M,P,Q,R,S",8.0,1e-08,-7.3979400086720375
1x1x,2.3,2005,Kd,53.0,nM,=,"A,B,C,D,E,F",6.0,1e-08,-6.275724130399211
1pk1,1.8,2005,Kd,54.0,nM,=,"A,B,C,D",4.0,1e-08,-6.267606240177032
1xg2,1.9,2005,Kd,5.0,nM,=,"A,B",2.0,1e-08,-7.301029995663981
1y76,0.0,2005,Kd,5.0,uM,=,"A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D",80.0,1e-05,-4.301029995663981
2b11,2.3,2005,Kd,5.0,uM,=,,,1e-05,-4.301029995663981
2b2w,2.4,2005,Kd,5.0,uM,=,,,1e-05,-4.301029995663981
2bnq,1.7,2005,Kd,5.0,uM,=,,,1e-05,-4.301029995663981
1xqs,2.9,2005,Kd,6.5,uM,=,"A,B,C,D",4.0,1e-05,-4.187086643357144
1ul1,2.9,2005,Kd,60.0,nM,=,"X,Y,Z,A,B,C",6.0,1e-08,-6.221848749616356
2a78,1.81,2005,Kd,60.0,nM,=,,,1e-08,-6.221848749616356
2a9k,1.73,2005,Kd,60.0,nM,=,,,1e-08,-6.221848749616356
2c5d,3.3,2005,Kd,6.0,nM,=,,,1e-08,-7.221848749616356
1zsg,0.0,2005,Kd,7.5,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",60.0,1e-05,-4.1249387366083
1zmy,3.0,2005,Kd,7.6,nM,=,"A,L,M",3.0,1e-08,-7.119186407719209
1z0k,1.92,2005,Kd,7.7,uM,=,"A,B,C,D",4.0,1e-05,-4.113509274827518
1yx6,0.0,2005,Kd,73.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",36.0,1e-05,-3.136677139879544
1rjc,1.4,2005,Kd,77.0,pM,=,"A,B",2.0,1e-11,-9.113509274827518
1wve,1.85,2005,Kd,7.0,nM,=,"A,C,B,D",4.0,1e-08,-7.154901959985743
2ast,2.3,2005,Kd,7.0,uM,=,,,1e-05,-4.154901959985743
1wqj,1.6,2005,Kd,865.0,nM,=,"B,I",2.0,1e-08,-5.062983892535185
1yym,2.2,2005,Kd,9.48,uM,=,"G,L,H,M,P,Q,R,S",8.0,1e-05,-4.023191662661934
1wa7,0.0,2005,Kd,9.58,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",40.0,1e-05,-4.018634490921455
2ak4,2.5,2005,Kd,9.9,uM,=,,,1e-05,-4.00436480540245
1y3c,1.69,2005,Ki,0.025,nM,=,"E,I",2.0,1e-08,-9.602059991327963
1y3b,1.8,2005,Ki,0.31,nM,=,"E,I",2.0,1e-08,-8.508638306165727
1y1k,1.56,2005,Ki,0.3,nM,=,"E,I",2.0,1e-08,-8.522878745280337
1y34,1.55,2005,Ki,0.52,nM,=,"E,I",2.0,1e-08,-8.2839966563652
1y3d,1.8,2005,Ki,0.56,nM,=,"E,I",2.0,1e-08,-8.2518119729938
1y4a,1.6,2005,Ki,1.2,nM,=,"E,I",2.0,1e-08,-7.920818753952375
1y4d,2.0,2005,Ki,1.2,nM,=,"E,I",2.0,1e-08,-7.920818753952375
1zli,2.09,2005,Ki,1.3,nM,=,"A,B",2.0,1e-08,-7.886056647693163
1y33,1.8,2005,Ki,1.7,nM,=,"E,I",2.0,1e-08,-7.769551078621726
1y48,1.84,2005,Ki,1.7,nM,=,"E,I",2.0,1e-08,-7.769551078621726
1wpx,2.7,2005,Ki,1.8,nM,=,"A,B",2.0,1e-08,-7.7447274948966935
1zr0,1.8,2005,Ki,13.0,nM,=,"A,B,C,D",4.0,1e-08,-6.886056647693163
2bo9,1.6,2005,Ki,3.0,nM,=,,,1e-08,-7.522878745280337
2hev,2.41,2006,IC50,62.0,nM,=,,,1e-08,-6.2076083105017466
2gng,1.87,2006,IC50,6.0,uM,=,,,1e-05,-4.221848749616356
2cmr,2.0,2006,Kd,0.05,nM,=,,,1e-08,-9.301029995663981
2gww,2.72,2006,Kd,0.11,nM,=,,,1e-08,-8.958607314841775
2nyy,2.61,2006,Kd,0.125,nM,=,,,1e-08,-8.903089986991944
2a6i,2.5,2006,Kd,0.12,uM,=,,,1e-05,-5.920818753952375
2nz9,3.79,2006,Kd,0.136,nM,=,,,1e-08,-8.866461091629782
2a6d,2.9,2006,Kd,0.15,uM,=,,,1e-05,-5.823908740944319
1zvy,1.63,2006,Kd,0.1,nM,=,"A,B",2.0,1e-08,-9.0
2cjs,1.78,2006,Kd,0.1,uM,=,,,1e-05,-6.0
2a6k,3.0,2006,Kd,0.21,uM,=,,,1e-05,-5.6777807052660805
2d1k,2.5,2006,Kd,0.23,uM,=,,,1e-05,-5.638272163982407
2f6a,3.29,2006,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
2dx5,3.35,2006,Kd,0.33,mM,=,,,0.01,-2.4814860601221125
2gl7,2.6,2006,Kd,0.459,uM,=,,,1e-05,-5.338187314462739
2b7c,1.8,2006,Kd,0.4,uM,=,,,1e-05,-5.3979400086720375
2hfg,2.61,2006,Kd,0.6,nM,=,,,1e-08,-8.221848749616356
2f5z,2.18,2006,Kd,0.78,nM,=,,,1e-08,-8.10790539730952
2fu5,2.0,2006,Kd,0.7,nM,=,,,1e-08,-8.154901959985743
2ixq,0.0,2006,Kd,0.7,uM,=,,,1e-05,-5.154901959985743
1yk0,2.4,2006,Kd,0.96,nM,=,"A,B,E,C,A,B,E,C",8.0,1e-08,-8.017728766960431
2f9z,2.4,2006,Kd,0.9,uM,=,,,1e-05,-5.045757490560675
2b42,2.5,2006,Kd,1.07,nM,=,,,1e-08,-7.97061622231479
2j1k,2.3,2006,Kd,1.1,nM,=,,,1e-08,-7.958607314841775
2g2u,1.6,2006,Kd,1.25,uM,=,,,1e-05,-4.903089986991944
2i32,2.7,2006,Kd,1.3,uM,=,,,1e-05,-4.886056647693163
2fjg,2.8,2006,Kd,1.5,nM,=,,,1e-08,-7.823908740944319
2d10,2.5,2006,Kd,1.7,nM,=,,,1e-08,-7.769551078621726
2b2x,2.2,2006,Kd,1.9,nM,=,,,1e-08,-7.721246399047171
2iy0,2.77,2006,Kd,10.7,nM,=,,,1e-08,-6.97061622231479
2b87,0.0,2006,Kd,100.0,nM,=,,,1e-08,-6.0
2f31,2.1,2006,Kd,102.0,nM,=,,,1e-08,-5.991399828238082
2hth,2.7,2006,Kd,105.0,uM,=,,,1e-05,-2.9788107009300617
2c0l,2.3,2006,Kd,109.0,nM,=,,,1e-08,-5.962573502059376
1zv5,2.0,2006,Kd,10.0,nM,=,"L,A",2.0,1e-08,-7.0
2erj,3.0,2006,Kd,10.0,pM,=,,,1e-11,-10.0
2aq2,1.8,2006,Kd,11.0,nM,=,,,1e-08,-6.958607314841775
2fjh,3.1,2006,Kd,12.0,nM,=,,,1e-08,-6.920818753952375
2fdb,2.28,2006,Kd,155.0,nM,=,,,1e-08,-5.809668301829708
2ftm,1.65,2006,Kd,16.0,pM,=,,,1e-11,-9.795880017344075
2den,0.0,2006,Kd,17.0,uM,=,,,1e-05,-3.769551078621726
1yrt,2.1,2006,Kd,1.0,nM,=,"A,B",2.0,1e-08,-8.0
2i5y,2.2,2006,Kd,2.7,nM,=,,,1e-08,-7.568636235841012
2g45,1.99,2006,Kd,2.82,uM,=,,,1e-05,-4.549750891680639
2fyl,0.0,2006,Kd,2.8,uM,=,,,1e-05,-4.552841968657781
2hd5,1.85,2006,Kd,2.8,uM,=,,,1e-05,-4.552841968657781
2dd8,2.3,2006,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
2j12,1.5,2006,Kd,20.0,nM,=,,,1e-08,-6.698970004336019
2hwn,1.6,2006,Kd,2.0,nM,=,,,1e-08,-7.698970004336019
2few,0.0,2006,Kd,3.7,mM,=,,,0.01,-1.431798275933005
2fuh,0.0,2006,Kd,300.0,uM,=,,,1e-05,-2.5228787452803374
2a24,0.0,2006,Kd,30.0,uM,=,,,1e-05,-3.5228787452803374
2dsr,2.1,2006,Kd,317.0,nM,=,,,1e-08,-5.498940737782249
2dsp,2.5,2006,Kd,3.0,uM,=,,,1e-05,-4.522878745280337
2bdn,2.53,2006,Kd,4.6,pM,=,,,1e-11,-10.337242168318426
2aze,2.55,2006,Kd,4.9,uM,=,,,1e-05,-4.309803919971486
2hle,2.05,2006,Kd,40.0,nM,=,,,1e-08,-6.3979400086720375
2djy,0.0,2006,Kd,40.0,uM,=,,,1e-05,-3.3979400086720375
2h4m,3.05,2006,Kd,42.0,nM,=,,,1e-08,-6.376750709602099
2arp,2.0,2006,Kd,430.0,nM,=,,,1e-08,-5.366531544420414
1yk1,2.9,2006,Kd,45.7,nM,=,"A,B,E,C",4.0,1e-08,-6.34008379993015
2fju,2.2,2006,Kd,5.3,uM,=,,,1e-05,-4.275724130399211
2aq1,2.1,2006,Kd,5.5,nM,=,,,1e-08,-7.259637310505756
2dsq,2.8,2006,Kd,544.0,nM,=,,,1e-08,-5.26440110030182
2g2w,1.8,2006,Kd,582.0,nM,=,,,1e-08,-5.235077015350112
2es4,1.85,2006,Kd,5.0,nM,=,,,1e-08,-7.301029995663981
2h9g,2.32,2006,Kd,5.0,nM,=,,,1e-08,-7.301029995663981
2i60,2.4,2006,Kd,6.24,nM,=,,,1e-08,-7.204815410317576
2c7m,2.4,2006,Kd,6.4,uM,=,,,1e-05,-4.1938200260161125
2c7n,2.1,2006,Kd,6.4,uM,=,,,1e-05,-4.1938200260161125
2hsq,3.97,2006,Kd,6.61,nM,=,,,1e-08,-7.179798540514359
2ftl,1.62,2006,Kd,60.0,fM,=,,,1e-14,-12.221848749616356
2f4m,1.85,2006,Kd,65.0,nM,=,,,1e-08,-6.187086643357144
2aq3,2.3,2006,Kd,7.6,uM,=,,,1e-05,-4.119186407719209
1zvh,1.5,2006,Kd,70.0,nM,=,"L,A",2.0,1e-08,-6.154901959985743
2iy1,2.46,2006,Kd,787.0,nM,=,,,1e-08,-5.104025267640935
2bwe,3.1,2006,Kd,80.0,uM,=,,,1e-05,-3.0969100130080562
2a9h,0.0,2006,Kd,900.0,nM,=,,,1e-08,-5.045757490560675
2gh0,1.92,2006,Kd,90.0,nM,=,,,1e-08,-6.045757490560675
1zgu,0.0,2006,Kd,98.0,uM,=,"A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B",20.0,1e-05,-3.008773924307505
2hrk,2.05,2006,Kd,9.0,nM,=,,,1e-08,-7.045757490560675
2g9h,2.0,2006,Kd,0.1,uM,~,,,1e-05,-6.0
2j7p,1.97,2006,Kd,10.0,nM,~,,,1e-08,-7.0
2j0t,2.54,2006,Ki,0.4,nM,=,,,1e-08,-8.397940008672037
2abz,2.16,2006,Ki,2.8,nM,=,,,1e-08,-7.552841968657781
2o3b,2.3,2006,Ki,3.2,pM,=,,,1e-11,-10.494850021680094
1yvb,2.7,2006,Ki,6.5,nM,=,"A,I",2.0,1e-08,-7.187086643357144
2j8x,2.3,2006,Ki,8.0,nM,=,,,1e-08,-7.096910013008056
2jby,2.41,2007,IC50,50.0,nM,=,,,1e-08,-6.301029995663981
2p5e,1.89,2007,Kd,0.048,nM,=,,,1e-08,-9.318758762624412
2omy,1.7,2007,Kd,0.2,uM,=,,,1e-05,-5.698970004336019
